,Author,Title
43,Stardust, “Music Sounds Better With You”
44,Chocolate Genius, “My Mom”
45,Elvis Costello and Burt Bacharach, “Toledo”
46,Juvenile, “Ha”
47,The Dixie Chicks, “There’s Your Trouble”
48,Fatboy Slim, “The Rockafeller Skank”
49,Cher, “Believe”
0,21 Savage, “Bank Account”
1,Haim, “Want You Back”
2,YFN Lucci feat. PnB Rock, “Everyday We Lit”
3,Willie Nelson, “Delete and Fast Forward”
4,Laura Marling, “Wild Fire”
5,Miley Cyrus, “Malibu”
6,Carly Rae Jepsen, “Cut to the Feeling”
7,Big Thief, “Shark Smile”
8,Kodak Black, “Tunnel Vision”
9,Kamasi Washington, “Truth”
10,Fergie feat. Nicki Minaj, “You Already Know”
11,Dan Auerbach, “Waiting on a Song”
12,Gorillaz feat. Popcaan, “Saturnz Barz”
13,Lindsey Buckingham/Christine McVie, “In My World”
14,Dvsn, “Mood”
15,Dirty Projectors, “Up in Hudson”
16,Dua Lipa feat. Miguel, “Lost in Your Light”
17,Lil Yachty feat. Diplo, “Forever Young”
18,Margo Price, “Pay Gap”
19,Craig Finn, “God in Chicago”
20,Jidenna, “Bambi”
21,J Balvin and Willy William, “Mi Gente”
22,Charly Bliss, “Glitter”
23,Calvin Harris feat. Frank Ocean, Migos
24,Tee Grizzley, “First Day Out”
25,Superorganism, “Something For Your M.I.N.D.”
26,DJ Khaled feat. Rihanna, Bryson Tiller
27,Charli XCX, “Boys”
28,Spoon, “Hot Thoughts”
29,Arcade Fire, “Everything Now”
30,Taylor Swift, “Call It What You Want”
31,Diet Cig, “Sixteen”
32,Beck, “Dear Life”
33,Lil Uzi Vert, “XO Tour Llif3”
34,Julia Michaels, “Uh Huh”
35,Drake, “Passionfruit”
36,LCD Soundsystem, “Call the Police”
37,Ed Sheeran, “Shape of You”
38,Selena Gomez, “Bad Liar”
39,Tove Styrke, “Say My Name”
40,Future, “Mask Off”
41,Lana Del Rey feat. the Weeknd, “Lust for Life”
42,Portugal. The Man, “Feel It Still”
43,Luis Fonsi and Daddy Yankee feat. Justin Bieber, “Despacito”
44,Migos feat. Lil Uzi Vert, “Bad and Boujee”
45,U2, “Lights of Home”
46,Cardi B, “Bodak Yellow”
47,Kendrick Lamar, “Humble.”
48,Lorde, “Homemade Dynamite”
49,Harry Styles, “Sign of the Times”
0,Tom Petty,It’ll All Work Out
1,Tom Petty,I Should Have Known It
2,Tom Petty,The Best of Everything
3,Tom Petty,A Higher Place
4,Tom Petty,Crystal River
5,Tom Petty,Waiting for Tonight
6,Tom Petty,Peace in L.A.
7,Tom Petty,Yer So Bad
8,Tom Petty,Square One
9,Tom Petty,Rebels
10,Tom Petty,Last Night
11,Tom Petty,Casa Dega
12,Tom Petty,Love Is a Long Road
13,Tom Petty,Shadow of a Doubt (A Complex Kid)
14,Tom Petty,Tweeter and the Monkey Man
15,Tom Petty,Dreamville
16,Tom Petty,Two Gunslingers
17,Tom Petty,Hometown Blues
18,Tom Petty,Lonesome Sundown
19,Tom Petty,American Dream Plan B
20,Tom Petty,"The Wild One, Forever"
21,Tom Petty,Echo
22,Tom Petty,Straight Into Darkness
23,Tom Petty,Insider
24,Tom Petty,Scare Easy
25,Tom Petty,Jammin’ Me
26,Tom Petty,You Wreck Me
27,Tom Petty,You Got Lucky
28,Tom Petty,Learning to Fly
29,Tom Petty,Change of Heart
30,Tom Petty,You Don’t Know How It Feels
31,Tom Petty,Even the Losers
32,Tom Petty,Southern Accents
33,Tom Petty,Mary Jane’s Last Dance
34,Tom Petty,Here Comes My Girl
35,Tom Petty,Stop Draggin’ My Heart Around
36,Tom Petty,Walls (Circus)
37,Tom Petty,Don’t Do Me Like That
38,Tom Petty,Into the Great Wide Open
39,Tom Petty,I Need to Know
40,Tom Petty,I Won’t Back Down
41,Tom Petty,Room at the Top
42,Tom Petty,Breakdown
43,Tom Petty,The Waiting
44,Tom Petty,Runnin’ Down a Dream
45,Tom Petty,Listen to Her Heart
